Date,Open,High,Low,Close,Volume,P/E,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-07-09,1287.36,1287.36,1286.55,1286.55,nan,nan,,,,
2026-07-10,1286.8,1287.79,1286.8,1287.79,nan,nan,,,,
2026-07-13,1288.54,1288.54,1288.45,1288.45,nan,nan,,,,
2026-07-14,1288.7,1288.7,1286.83,1286.83,nan,nan,,,,
2026-07-15,1287.08,1289.04,1286.18,1286.18,nan,nan,,,,
2026-07-16,1286.43,1286.55,1286.42,1286.55,nan,nan,,,,
2026-07-17,1286.8,1286.8,1285.37,1285.37,nan,nan,,,,
2026-07-20,1286.12,1286.12,1283.79,1283.79,nan,nan,,,,
2026-07-21,1284.04,1287.9,1284.04,1287.9,nan,nan,,,,
2026-07-22,1288.14,1288.14,1287.39,1287.39,nan,nan,,,,
2026-07-23,1287.63,1287.76,1287.63,1287.76,nan,nan,,,,
2026-07-24,1288.01,1288.01,1287.74,1287.95,nan,nan,,,,
2026-07-27,1288.7,1288.71,1288.7,1288.71,nan,nan,,,,
2026-07-28,1288.95,1290.64,1288.95,1290.64,nan,nan,,,,
2026-07-29,1290.89,1290.91,1290.89,1290.91,nan,nan,,,,
2026-07-30,1291.16,1291.16,1289.81,1289.81,nan,nan,,,,
2026-07-31,1290.06,1290.74,1290.06,1290.74,nan,nan,,,,
2026-08-03,1291.49,1291.49,1291.24,1291.24,nan,nan,,,,
2026-08-04,1291.49,1291.49,1289.39,1289.39,nan,nan,,,,
2026-08-05,1289.64,1291.34,1289.64,1291.34,nan,nan,,,,
2026-08-06,1291.59,1291.88,1291.59,1291.88,nan,nan,,,,
2026-08-07,1292.13,1292.22,1292.12,1292.22,nan,nan,,,,
2026-08-10,1292.96,1292.97,1292.96,1292.97,nan,nan,,,,
2026-08-11,1293.21,1293.85,1293.21,1293.85,nan,nan,,,,
2026-08-12,1294.09,1294.09,1293.53,1293.53,nan,nan,,,,
2026-08-13,1293.77,1294.99,1293.77,1294.99,nan,nan,,,,
2026-08-14,1295.23,1295.41,1295.23,1295.41,nan,nan,,,,
2026-08-17,1296.16,1296.16,1294.99,1294.99,nan,nan,,,,
2026-08-18,1295.24,1295.24,1292.84,1292.84,nan,nan,,,,
2026-08-19,1293.08,1293.08,1291.75,1291.75,nan,nan,,,,
2026-08-20,1292.0,1292.0,1291.0,1291.0,nan,nan,,,,
2026-08-21,1291.24,1291.25,1287.83,1287.83,nan,nan,,,,
2026-08-24,1288.59,1288.59,1284.01,1284.01,nan,nan,,,,
